epoch,train_acc,val_acc
1,0.7128365197034725,0.7970882620564149
2,0.7920405774483028,0.8007279344858963
3,0.815060476004682,0.813466787989081
4,0.8400312134217713,0.8171064604185623
5,0.8587592664845883,0.813466787989081
6,0.8778774873195474,0.8234758871701547
7,0.9051892313694889,0.8307552320291174
8,0.9375731564572767,0.8334849863512284
9,0.9590323839250878,0.8298453139217471
10,0.9691767460007803,0.8343949044585988
11,0.9777604369879048,0.8362147406733395
12,0.982052282481467,0.8425841674249318
13,0.9882949668357394,0.8425841674249318
14,0.9879047990635973,0.83803457688808
15,0.9890753023800234,0.8389444949954504
